full_tag,site_label,sts,wb,emi,raw_parameter,canonical_parameter,parameter_class,channel_group,event_count,source_zip_count,source_csv_count,coverage_start_raw,coverage_end_raw,timestamp_shape,zero_change_count,nonzero_change_count,deadband_estimate,deadband_support,deadband_support_fraction,deadband_relative_mad,deadband_confidence,deadband_lower_anomaly_count,deadband_unresolved_reason,interarrival_p50_s,interarrival_p90_s,interarrival_p99_s,max_gap_s,active_interval_count,active_interarrival_p50_s,active_interarrival_p90_s,active_interarrival_p99_s,max_active_gap_s,max_active_gap_start_ns,max_active_gap_end_ns,flat_or_night_interval_count,flat_interarrival_p50_s,flat_interarrival_p90_s,flat_interarrival_p99_s,observed_heartbeat_candidate_s,heartbeat_support,heartbeat_support_fraction,heartbeat_coefficient_of_variation,heartbeat_confidence,heartbeat_unresolved_reason,configured_max_report_time_status,sibling_events_during_max_active_gap,abs_delta_min,abs_delta_p01,abs_delta_p05,abs_delta_p50,abs_delta_p90,abs_delta_p99,event_count_before_integrity,event_count_after_integrity,exact_duplicate_count,timestamp_conflict_count,order_violation_count
PLTS IKN / STS04 / WB04_EMI04 / MEAS / RSI MONTHLY ACCUM 03,PLTS IKN,STS04,WB04,EMI04,RSI MONTHLY ACCUM 03,RSI 03 Monthly Acummulation,irradiance_accumulation,,8,1,1,2026-06-04 10:45:53.697,2026-06-30 23:57:47.669,naive,0,7,,0,0,,unresolved,0,insufficient positive deltas for a supported lower-edge cluster,336852.26,426349.308,435017.075,435980.16,0,,,,,,,0,,,,,0,0,,unresolved,insufficient same-value intervals,unknown,0,0.277777,0.277777,0.277777,0.277778,0.9444444,1.84444404,8,8,0,0,0
PLTS IKN / STS04 / WB04_EMI04 / MEAS / RSI YEARLY ACCUM 03,PLTS IKN,STS04,WB04,EMI04,RSI YEARLY ACCUM 03,RSI 03 Yearly Acummulation,irradiance_accumulation,,7,1,1,2026-06-02 11:55:52.255,2026-06-26 15:47:46.186,naive,0,6,,0,0,,unresolved,0,insufficient positive deltas for a supported lower-edge cluster,348587.3,429934.285,438107.208,439015.31,0,,,,,,,0,,,,,0,0,,unresolved,insufficient same-value intervals,unknown,0,0.277777,0.27777705,0.27777725,0.277778,0.277778,0.277778,7,7,0,0,0
PLTS IKN / STS05 / WB05_EMI02 / MEAS / AMBIENT AIR HUMIDITY,PLTS IKN,STS05,WB05,EMI02,AMBIENT AIR HUMIDITY,AMBIENT AIR HUMIDITY,meteorological,,49887,1,1,2026-06-01 07:24:18.087,2026-06-30 23:59:59.955,naive,209,49677,0.099999,30860,0.621213036,1.00001e-05,high,0,,23.104,49.522,181.4194,89597.825,0,,,,,,,0,,,,,149,0.71291866,0.609755468,unresolved,no stable repeated-value interval cluster,unknown,0,0.099998,0.099998,0.099998,0.100006,0.5,1.099998,49887,49887,0,0,1
PLTS IKN / STS05 / WB05_EMI02 / MEAS / AMBIENT AIR TEMP,PLTS IKN,STS05,WB05,EMI02,AMBIENT AIR TEMP,AMBIENT AIR TEMP,meteorological,,9545,1,1,2026-06-01 07:24:18.087,2026-06-30 23:56:35.590,naive,242,9302,0.1,8003,0.860352612,9.99999997e-06,high,0,,132.06,379.6705,861.80678,89597.825,0,,,,,,,0,,,,,146,0.603305785,0.578333439,unresolved,no stable repeated-value interval cluster,unknown,0,0.099998,0.099998,0.099998,0.1,0.199999,0.299999,9545,9545,0,0,0
PLTS IKN / STS05 / WB05_EMI02 / MEAS / DAILY RAINFALL,PLTS IKN,STS05,WB05,EMI02,DAILY RAINFALL,DAILY RAINFALL,meteorological,,413,1,1,2026-06-01 07:24:18.087,2026-06-30 23:59:33.633,naive,271,141,0.2,87,0.617021277,8.32667268e-16,high,2,,69.3695,18790.1281,75913.1552,100644.469,0,,,,,,,0,,,,,146,0.538745387,0.575001414,unresolved,no stable repeated-value interval cluster,unknown,0,0.1,0.14,0.2,0.2,1.2,11.1,413,413,0,0,0
PLTS IKN / STS05 / WB05_EMI02 / MEAS / DHI DAILY ACCUM,PLTS IKN,STS05,WB05,EMI02,DHI DAILY ACCUM,DHI Daily Acummulation,irradiance_accumulation,,11533,1,1,2026-06-01 07:24:18.087,2026-06-30 23:57:05.349,naive,256,11276,0.002778,3503,0.310659808,6.08839233e-14,high,0,,69.267,72.7811,529.92013,89597.825,0,,,,,,,0,,,,,159,0.62109375,0.582805927,unresolved,no stable repeated-value interval cluster,unknown,0,0.002777,0.002777,0.002777,0.005556,0.013889,0.016667,11533,11533,0,0,0
PLTS IKN / STS05 / WB05_EMI02 / MEAS / DHI MONTHLY ACCUM,PLTS IKN,STS05,WB05,EMI02,DHI MONTHLY ACCUM,DHI Monthly Acummulation,irradiance_accumulation,,579,1,1,2026-06-01 07:24:18.087,2026-06-30 16:51:09.416,naive,272,306,0.277778,304,0.993464052,3.59999712e-06,high,0,,1358.6615,6437.0079,56059.0159,89597.825,0,,,,,,,0,,,,,147,0.540441176,0.572697111,unresolved,no stable repeated-value interval cluster,unknown,0,0.277775,0.277775,0.277775,0.277778,0.277779,0.277779,579,579,0,0,0
PLTS IKN / STS05 / WB05_EMI02 / MEAS / DHI YEARLY ACCUM,PLTS IKN,STS05,WB05,EMI02,DHI YEARLY ACCUM,DHI Yearly Acummulation,irradiance_accumulation,,578,1,1,2026-06-01 07:24:18.087,2026-06-30 16:22:16.414,naive,271,306,0.277771,304,0.993464052,3.60008794e-06,high,0,,1351.015,6097.4952,56194.1022,89597.825,0,,,,,,,0,,,,,147,0.542435424,0.57483772,unresolved,no stable repeated-value interval cluster,unknown,0,0.27777,0.27777,0.27777,0.277771,0.277787,0.277787,578,578,0,0,0
PLTS IKN / STS05 / WB05_EMI02 / MEAS / DIFFUSE HORIZONTAL IRRADIANCE (DHI),PLTS IKN,STS05,WB05,EMI02,DIFFUSE HORIZONTAL IRRADIANCE (DHI),Diffuse Horizontal Irradiance (DHI),instantaneous_irradiance,DHI,31683,1,1,2026-06-01 07:24:18.087,2026-06-30 18:00:47.669,naive,218,31464,1,7751,0.246345029,0,high,0,,23.12,39.617,105.68219,89597.825,31619,23.12,39.602,102.32112,89597.825,1.78039523e+18,1.78048482e+18,63,10.013,7734.259,23127.8558,,164,0.752293578,0.600115073,unresolved,no stable repeated-value interval cluster,unknown,12,1,1,1,4,83,470,31683,31683,0,0,0
PLTS IKN / STS05 / WB05_EMI02 / MEAS / DIRECT HORIZONTAL IRRADIANCE (DNI*cosZ),PLTS IKN,STS05,WB05,EMI02,DIRECT HORIZONTAL IRRADIANCE (DNI*cosZ),Direct Horizontal Irradiance (DNIcosZ),instantaneous_irradiance,DNIcosZ,714,1,1,2026-06-01 07:24:18.087,2026-06-30 14:38:25.113,naive,271,442,1,381,0.86199095,0,high,0,,69.315,7686.694,67402.4088,100644.469,370,69.416,366.8899,2255.56638,51166.965,1.78197163e+18,1.78202279e+18,343,69.236,19102.213,78787.4501,,147,0.542435424,0.577232827,unresolved,no stable repeated-value interval cluster,unknown,818,1,1,1,1,2,8.59,714,714,0,0,0
