source_zip,source_csv,full_tag,row_count,timestamp_shape,coverage_start_raw,coverage_end_raw,order_violation_count
trends_export_1783133610369.zip,trends_export_tmp1783133610638.csv,PLTS IKN / STS06 / WB06_EMI03 / MEAS / IN-PLANE REAR-SIDE IRRADIANCE (RSI) 02,271,naive,2026-06-01 07:24:17.306000,2026-06-30 14:38:23.957000,0
trends_export_1783133617128.zip,trends_export_tmp1783133617411.csv,PLTS IKN / STS06 / WB06_EMI03 / MEAS / IN-PLANE REAR-SIDE IRRADIANCE (RSI) 03,271,naive,2026-06-01 07:24:17.306000,2026-06-30 14:38:23.957000,0
trends_export_1783133630079.zip,trends_export_tmp1783133630457.csv,PLTS IKN / STS06 / WB06_EMI03 / MEAS / PEAK OF SUN HOURS,11185,naive,2026-06-01 00:58:31.108000,2026-06-30 17:40:16.584000,0
trends_export_1783133639523.zip,trends_export_tmp1783133639784.csv,PLTS IKN / STS06 / WB06_EMI03 / MEAS / POA DAILY ACCUM,271,naive,2026-06-01 07:24:17.306000,2026-06-30 14:38:23.957000,0
trends_export_1783133646957.zip,trends_export_tmp1783133647218.csv,PLTS IKN / STS06 / WB06_EMI03 / MEAS / POA MONTHLY ACCUM,271,naive,2026-06-01 07:24:17.306000,2026-06-30 14:38:23.957000,0
trends_export_1783133654017.zip,trends_export_tmp1783133654283.csv,PLTS IKN / STS06 / WB06_EMI03 / MEAS / POA YEARLY ACCUM,271,naive,2026-06-01 07:24:17.306000,2026-06-30 14:38:23.957000,0
trends_export_1783133660098.zip,trends_export_tmp1783133660358.csv,PLTS IKN / STS06 / WB06_EMI03 / MEAS / PRESSURE,271,naive,2026-06-01 07:24:17.306000,2026-06-30 14:38:23.957000,0
trends_export_1783133669557.zip,trends_export_tmp1783133669982.csv,PLTS IKN / STS06 / WB06_EMI03 / MEAS / PV MODUL TEMP 01,14539,naive,2026-06-01 00:00:04.675000,2026-06-30 23:48:33.154000,0
trends_export_1783133677375.zip,trends_export_tmp1783133677775.csv,PLTS IKN / STS06 / WB06_EMI03 / MEAS / PV MODUL TEMP 02,14021,naive,2026-06-01 00:00:31.138000,2026-06-30 23:50:21.929000,0
trends_export_1783133685486.zip,trends_export_tmp1783133685897.csv,PLTS IKN / STS06 / WB06_EMI03 / MEAS / PV MODUL TEMP 03,13742,naive,2026-06-01 00:02:03.479000,2026-06-30 23:32:56.588000,0
trends_export_1783133691722.zip,trends_export_tmp1783133691982.csv,PLTS IKN / STS06 / WB06_EMI03 / MEAS / RSI DAILY ACCUM 01,271,naive,2026-06-01 07:24:17.306000,2026-06-30 14:38:23.957000,0
trends_export_1783133697277.zip,trends_export_tmp1783133697537.csv,PLTS IKN / STS06 / WB06_EMI03 / MEAS / RSI DAILY ACCUM 02,271,naive,2026-06-01 07:24:17.306000,2026-06-30 14:38:23.957000,0
trends_export_1783133702941.zip,trends_export_tmp1783133703200.csv,PLTS IKN / STS06 / WB06_EMI03 / MEAS / RSI DAILY ACCUM 03,271,naive,2026-06-01 07:24:17.306000,2026-06-30 14:38:23.957000,0
trends_export_1783133711658.zip,trends_export_tmp1783133711920.csv,PLTS IKN / STS06 / WB06_EMI03 / MEAS / RSI DAILY ACCUM 03,271,naive,2026-06-01 07:24:17.306000,2026-06-30 14:38:23.957000,0
trends_export_1783133719920.zip,trends_export_tmp1783133720182.csv,PLTS IKN / STS06 / WB06_EMI03 / MEAS / RSI MONTHLY ACCUM 01,271,naive,2026-06-01 07:24:17.306000,2026-06-30 14:38:23.957000,0
trends_export_1783133726544.zip,trends_export_tmp1783133726804.csv,PLTS IKN / STS06 / WB06_EMI03 / MEAS / RSI MONTHLY ACCUM 02,271,naive,2026-06-01 07:24:17.306000,2026-06-30 14:38:23.957000,0
